region_id,region_name,country,color
3643,Rhaphaneia (Apamene),Antigonid Kingdom,#CA8A04
3644,Pella Orontou (Apamene),Antigonid Kingdom,#CA8A04
3645,Theleda (Apamene),Antigonid Kingdom,#CA8A04
3646,Adrona (Apamene),Antigonid Kingdom,#CA8A04
3647,Beloi (Pieria),Antigonid Kingdom,#CA8A04
3648,Telmenissos (Pieria),Antigonid Kingdom,#CA8A04
3649,Potamoi Karon (Pieria),Antigonid Kingdom,#CA8A04
3650,Daphne (Pieria),Antigonid Kingdom,#CA8A04
3651,Antigoneia (Pieria),Antigonid Kingdom,#CA8A04
3652,Chalkis Belon (Pieria),Antigonid Kingdom,#CA8A04
3653,Gindaros (Pieria),Antigonid Kingdom,#CA8A04
3654,Pagrai (Pieria),Antigonid Kingdom,#CA8A04
3655,Trapezon (Pieria),Antigonid Kingdom,#CA8A04
3656,Omeros (Pieria),Antigonid Kingdom,#CA8A04
3657,Chalibon (Pieria),Antigonid Kingdom,#CA8A04
3658,Nikopolis Syrias (Pieria),Antigonid Kingdom,#CA8A04
3659,Kounna (Palmyrene),Antigonid Kingdom,#CA8A04
3660,Beriaraka (Palmyrene),Antigonid Kingdom,#CA8A04
3661,Palmyra (Palmyrene),Antigonid Kingdom,#CA8A04
3662,Heliaramia (Palmyrene),Antigonid Kingdom,#CA8A04
3663,Gennaes (Palmyrene),Antigonid Kingdom,#CA8A04
3664,Okkraraba (Palmyrene),Antigonid Kingdom,#CA8A04
3665,Seriane (Palmyrene),Antigonid Kingdom,#CA8A04
3666,Oriza (Palmyrene),Antigonid Kingdom,#CA8A04
3667,Rhesapha (Palmyrene),Antigonid Kingdom,#CA8A04
3668,Birtha Asporakou (Palmyrene),Antigonid Kingdom,#CA8A04
3669,Soura (Palmyrene),Antigonid Kingdom,#CA8A04
3670,Dansara (Cyrrhestica),Antigonid Kingdom,#CA8A04
3671,Barbalissos (Cyrrhestica),Antigonid Kingdom,#CA8A04
3672,Chenneseroi (Cyrrhestica),Antigonid Kingdom,#CA8A04
3673,Ammattha (Cyrrhestica),Antigonid Kingdom,#CA8A04
3674,Amphipolis Syrias (Cyrrhestica),Antigonid Kingdom,#CA8A04
3675,Beselatha (Cyrrhestica),Antigonid Kingdom,#CA8A04
3678,Doliche (Cyrrhestica),Antigonid Kingdom,#CA8A04
3680,Chaonia (Cyrrhestica),Antigonid Kingdom,#CA8A04
3682,Phaliga (Dura-Europos),Antigonid Kingdom,#CA8A04
3683,Asicha (Dura-Europos),Antigonid Kingdom,#CA8A04
3684,Appadana (Dura-Europos),Antigonid Kingdom,#CA8A04
3685,Dura-Europos (Dura-Europos),Antigonid Kingdom,#CA8A04
3686,Eddana (Dura-Europos),Antigonid Kingdom,#CA8A04
3695,Ichnai (Osroene),Antigonid Kingdom,#CA8A04
3696,Kommisimbela (Osroene),Antigonid Kingdom,#CA8A04
3697,Alagma (Osroene),Antigonid Kingdom,#CA8A04
3698,Ganaba (Osroene),Antigonid Kingdom,#CA8A04
3699,Karrhai (Osroene),Antigonid Kingdom,#CA8A04
3700,Ballatha (Osroene),Antigonid Kingdom,#CA8A04
3701,Batnai (Osroene),Antigonid Kingdom,#CA8A04
3702,Bithias (Osroene),Antigonid Kingdom,#CA8A04
3703,Adma (Osroene),Antigonid Kingdom,#CA8A04
3704,Antiocheia Mesopotamias (Osroene),Antigonid Kingdom,#CA8A04
3705,Barbare (Osroene),Antigonid Kingdom,#CA8A04
3706,Arsemeia (Osroene),Antigonid Kingdom,#CA8A04
3719,Paphos (Cyprus),Antigonid Kingdom,#CA8A04
3720,Marion (Cyprus),Antigonid Kingdom,#CA8A04
3721,Kourion (Cyprus),Antigonid Kingdom,#CA8A04
3722,Amathous (Cyprus),Antigonid Kingdom,#CA8A04
3723,Kition (Cyprus),Antigonid Kingdom,#CA8A04
3724,Salamis Kyprias (Cyprus),Antigonid Kingdom,#CA8A04
3725,Karpaseia (Cyprus),Antigonid Kingdom,#CA8A04
3726,Keryneia (Cyprus),Antigonid Kingdom,#CA8A04
3727,Idalion (Cyprus),Antigonid Kingdom,#CA8A04
3728,Chythroi (Cyprus),Antigonid Kingdom,#CA8A04
3729,Tamassos (Cyprus),Antigonid Kingdom,#CA8A04
3730,Soloi Kypriai (Cyprus),Antigonid Kingdom,#CA8A04
3731,Alexandria Issos (Cilicia),Antigonid Kingdom,#CA8A04
3732,Issos (Cilicia),Antigonid Kingdom,#CA8A04
3733,Aigaiai (Cilicia),Antigonid Kingdom,#CA8A04
3734,Magarsa (Cilicia),Antigonid Kingdom,#CA8A04
3735,Mallos (Cilicia),Antigonid Kingdom,#CA8A04
3736,Adana (Cilicia),Antigonid Kingdom,#CA8A04
3737,Mopsou Hestia (Cilicia),Antigonid Kingdom,#CA8A04
3738,Oiniandos (Cilicia),Antigonid Kingdom,#CA8A04
3739,Anazarbos (Cilicia),Antigonid Kingdom,#CA8A04
3740,Sipha (Cilicia),Antigonid Kingdom,#CA8A04
3741,Hierapolis Kastabala (Cilicia),Antigonid Kingdom,#CA8A04
3742,Erana (Cilicia),Antigonid Kingdom,#CA8A04
3743,Pylai Kilikia (Cilicia),Antigonid Kingdom,#CA8A04
3744,Tarsos (Cilicia),Antigonid Kingdom,#CA8A04
3746,Soloi (Cilicia),Antigonid Kingdom,#CA8A04
3747,Kyinda (Cilicia),Antigonid Kingdom,#CA8A04
3752,Lakaine (Cilicia),Antigonid Kingdom,#CA8A04
3753,Kelenderis (Cilicia),Antigonid Kingdom,#CA8A04
3754,Anemourion (Cilicia),Antigonid Kingdom,#CA8A04
3755,Selinous Kilikias (Cilicia),Antigonid Kingdom,#CA8A04
3756,Ano Kotradis (Pamphylia),Antigonid Kingdom,#CA8A04
3757,Laertes (Pamphylia),Antigonid Kingdom,#CA8A04
3759,Korakesion (Pamphylia),Antigonid Kingdom,#CA8A04
3760,Side (Pamphylia),Antigonid Kingdom,#CA8A04
3762,Aspendos (Pamphylia),Antigonid Kingdom,#CA8A04
3763,Sillyon (Pamphylia),Antigonid Kingdom,#CA8A04
3764,Perge (Pamphylia),Antigonid Kingdom,#CA8A04
3765,Olbia Pamphylias (Pamphylia),Antigonid Kingdom,#CA8A04
3766,Phaselis (Pamphylia),Antigonid Kingdom,#CA8A04
3768,Olympos (Lycia),Antigonid Kingdom,#CA8A04
3769,Limyra (Lycia),Antigonid Kingdom,#CA8A04
3772,Kanyba (Lycia),Antigonid Kingdom,#CA8A04
3773,Myra (Lycia),Antigonid Kingdom,#CA8A04
3774,Patara (Lycia),Antigonid Kingdom,#CA8A04
3775,Xanthos (Lycia),Antigonid Kingdom,#CA8A04
3776,Tlos (Lycia),Antigonid Kingdom,#CA8A04
3777,Telmessos (Lycia),Antigonid Kingdom,#CA8A04
3778,Kadyanda (Lycia),Antigonid Kingdom,#CA8A04
3785,Kretopolis,Antigonid Kingdom,#CA8A04
3786,Kormasa (Milyas),Antigonid Kingdom,#CA8A04
3794,Ariassos (Pisidia),Antigonid Kingdom,#CA8A04
3798,Baris (Pisidia),Antigonid Kingdom,#CA8A04
3810,Isauropolis (Isauria),Antigonid Kingdom,#CA8A04
3811,Artanada (Isauria),Antigonid Kingdom,#CA8A04
3812,Klibanos (Isauria),Antigonid Kingdom,#CA8A04
3813,Adrasos (Isauria),Antigonid Kingdom,#CA8A04
3814,Ilistra (Isauria),Antigonid Kingdom,#CA8A04
3815,Koropissos (Isauria),Antigonid Kingdom,#CA8A04
3816,Laranda (Isauria),Antigonid Kingdom,#CA8A04
3817,Thebasa (Isauria),Antigonid Kingdom,#CA8A04
3819,Pappa (Lycaonia),Antigonid Kingdom,#CA8A04
3820,Lystra (Lycaonia),Antigonid Kingdom,#CA8A04
3821,Ikonion (Lycaonia),Antigonid Kingdom,#CA8A04
3822,Barate (Lycaonia),Antigonid Kingdom,#CA8A04
3823,Derbe (Lycaonia),Antigonid Kingdom,#CA8A04
3824,Kanna (Lycaonia),Antigonid Kingdom,#CA8A04
3825,Soatra (Lycaonia),Antigonid Kingdom,#CA8A04
3826,Perta (Lycaonia),Antigonid Kingdom,#CA8A04
3827,Kindyria (Lycaonia),Antigonid Kingdom,#CA8A04
3828,Kongoustos (Lycaonia),Antigonid Kingdom,#CA8A04
3829,Keissia (Lycaonia),Antigonid Kingdom,#CA8A04
3830,Ekdaumau (Lycaonia),Antigonid Kingdom,#CA8A04
3831,Thera Karias (Caria),Antigonid Kingdom,#CA8A04
3832,Chrysaoris (Caria),Antigonid Kingdom,#CA8A04
3833,Mylasa (Caria),Antigonid Kingdom,#CA8A04
3834,Alexandreia Latmoi (Caria),Antigonid Kingdom,#CA8A04
3835,Alabanda  (Caria),Antigonid Kingdom,#CA8A04
3836,Magnesia Maiandrou (Caria),Antigonid Kingdom,#CA8A04
3837,Tralleis (Caria),Antigonid Kingdom,#CA8A04
3838,Athymbra (Caria),Antigonid Kingdom,#CA8A04
3839,Kranaos (Caria),Antigonid Kingdom,#CA8A04
3840,Diospolis Lykou (Caria),Antigonid Kingdom,#CA8A04
3841,Aphrodisias (Caria),Antigonid Kingdom,#CA8A04
3842,Neapolis Karias (Caria),Antigonid Kingdom,#CA8A04
3843,Bargasa (Caria),Antigonid Kingdom,#CA8A04
3844,Hyllarima (Caria),Antigonid Kingdom,#CA8A04
3845,Tabai (Caria),Antigonid Kingdom,#CA8A04
3847,Herakleia Salbake (Caria),Antigonid Kingdom,#CA8A04
3849,Apollonia Maiandrou (Lydia),Antigonid Kingdom,#CA8A04
3850,Myloukome (Lydia),Antigonid Kingdom,#CA8A04
3851,Maionia (Lydia),Antigonid Kingdom,#CA8A04
3852,Silandos (Lydia),Antigonid Kingdom,#CA8A04
3853,Maiboza (Lydia),Antigonid Kingdom,#CA8A04
3854,Thyateira (Lydia),Antigonid Kingdom,#CA8A04
3855,Sardeis (Lydia),Antigonid Kingdom,#CA8A04
3856,Hypaipa (Lydia),Antigonid Kingdom,#CA8A04
3857,Larisas Ionias (Lydia),Antigonid Kingdom,#CA8A04
3858,Magnesia Sipylon (Lydia),Antigonid Kingdom,#CA8A04
3859,Aigai (Lydia),Antigonid Kingdom,#CA8A04
3860,Hyrkanis (Lydia),Antigonid Kingdom,#CA8A04
3861,Pergamon (Aeolis),Antigonid Kingdom,#CA8A04
3862,Apollonia Mysias (Aeolis),Antigonid Kingdom,#CA8A04
3863,Pioniai (Aeolis),Antigonid Kingdom,#CA8A04
3864,Hiera Germe (Aeolis),Antigonid Kingdom,#CA8A04
3865,Zeleia (Mysia),Antigonid Kingdom,#CA8A04
3866,Baris Mysias (Mysia),Antigonid Kingdom,#CA8A04
3867,Argiza (Mysia),Antigonid Kingdom,#CA8A04
3868,Antigoneia Daskyleion (Mysia),Antigonid Kingdom,#CA8A04
3869,Miletopolis (Mysia),Antigonid Kingdom,#CA8A04
3870,Pericharaxis (Mysia),Antigonid Kingdom,#CA8A04
3872,Ankyra Sidera (Mysia),Antigonid Kingdom,#CA8A04
3873,Hyssa (Mysia),Antigonid Kingdom,#CA8A04
3874,Inde (Mysia),Antigonid Kingdom,#CA8A04
3875,Attea (Mysia),Antigonid Kingdom,#CA8A04
3876,Ariste (Mysia),Antigonid Kingdom,#CA8A04
3877,Kallydion (Mysia),Antigonid Kingdom,#CA8A04
3878,Kybellion (Mysia),Antigonid Kingdom,#CA8A04
3879,Apollonia Rhyndakon (Bithynia),Antigonid Kingdom,#CA8A04
3880,Bithynian Mountains (Bithynia),Antigonid Kingdom,#CA8A04
3881,Booskoite (Bithynia),Antigonid Kingdom,#CA8A04
3882,Pythopolis (Bithynia),Antigonid Kingdom,#CA8A04
3883,Antigoneia Bithynias (Bithynia),Antigonid Kingdom,#CA8A04
3889,Sarkotyle (Bithynia),Antigonid Kingdom,#CA8A04
3890,Lamounia (Bithynia),Antigonid Kingdom,#CA8A04
3891,Otroia (Bithynia),Antigonid Kingdom,#CA8A04
3892,Oka (Bithynia),Antigonid Kingdom,#CA8A04
3893,Tattaios (Bithynia),Antigonid Kingdom,#CA8A04
3894,Kabia (Bithynia),Antigonid Kingdom,#CA8A04
3913,Kinna (Eastern Phrygia),Antigonid Kingdom,#CA8A04
3914,Orbana (Eastern Phrygia),Antigonid Kingdom,#CA8A04
3915,Androna (Eastern Phrygia),Antigonid Kingdom,#CA8A04
3916,Gordion (Eastern Phrygia),Antigonid Kingdom,#CA8A04
3917,Germa (Eastern Phrygia),Antigonid Kingdom,#CA8A04
3918,Trokna (Eastern Phrygia),Antigonid Kingdom,#CA8A04
3919,Orkistos (Eastern Phrygia),Antigonid Kingdom,#CA8A04
3920,Pessinous (Eastern Phrygia),Antigonid Kingdom,#CA8A04
3921,Klaneos (Eastern Phrygia),Antigonid Kingdom,#CA8A04
3922,Ouetissos (Eastern Phrygia),Antigonid Kingdom,#CA8A04
3923,Kybeleion (Eastern Phrygia),Antigonid Kingdom,#CA8A04
3924,Midaeion (Western Phrygia),Antigonid Kingdom,#CA8A04
3925,Dorylaion (Western Phrygia),Antigonid Kingdom,#CA8A04
3926,Phrygian Mountains (Western Phrygia),Antigonid Kingdom,#CA8A04
3927,Kotyaion (Western Phrygia),Antigonid Kingdom,#CA8A04
3928,Nakoleia (Western Phrygia),Antigonid Kingdom,#CA8A04
3929,Meiros (Western Phrygia),Antigonid Kingdom,#CA8A04
3930,Aizanoi (Western Phrygia),Antigonid Kingdom,#CA8A04
3931,Kadoi (Western Phrygia),Antigonid Kingdom,#CA8A04
3932,Appia (Western Phrygia),Antigonid Kingdom,#CA8A04
3933,Metropolis Phrygias (Western Phrygia),Antigonid Kingdom,#CA8A04
3934,Amorion (Western Phrygia),Antigonid Kingdom,#CA8A04
3935,Dokimeion (Western Phrygia),Antigonid Kingdom,#CA8A04
3936,Ipsos (Western Phrygia),Antigonid Kingdom,#CA8A04
3937,Kidyessos (Western Phrygia),Antigonid Kingdom,#CA8A04
3938,Prymnessos (Western Phrygia),Antigonid Kingdom,#CA8A04
3939,Synnada (Western Phrygia),Antigonid Kingdom,#CA8A04
3940,Euphorbion (Western Phrygia),Antigonid Kingdom,#CA8A04
3941,Mordiaion (Western Phrygia),Antigonid Kingdom,#CA8A04
3942,Aurokra (Western Phrygia),Antigonid Kingdom,#CA8A04
3943,Philomelion (Western Phrygia),Antigonid Kingdom,#CA8A04
3944,Azareis (Western Phrygia),Antigonid Kingdom,#CA8A04
3945,Tyriaion (Western Phrygia),Antigonid Kingdom,#CA8A04
3946,Thymbrion (Western Phrygia),Antigonid Kingdom,#CA8A04
3947,Anaboura (Western Phrygia),Antigonid Kingdom,#CA8A04
3948,Tymbrias (Western Phrygia),Antigonid Kingdom,#CA8A04
3949,Tyita (Western Phrygia),Antigonid Kingdom,#CA8A04
3950,Eukarpia (Western Phrygia),Antigonid Kingdom,#CA8A04
3951,Akmonia (Western Phrygia),Antigonid Kingdom,#CA8A04
3952,Bageis (Western Phrygia),Antigonid Kingdom,#CA8A04
3953,Elouza (Western Phrygia),Antigonid Kingdom,#CA8A04
3954,Blaundos (Western Phrygia),Antigonid Kingdom,#CA8A04
3955,Pepouza (Western Phrygia),Antigonid Kingdom,#CA8A04
3956,Lounda (Western Phrygia),Antigonid Kingdom,#CA8A04
3957,Kelainai (Western Phrygia),Antigonid Kingdom,#CA8A04
3958,Peltai (Western Phrygia),Antigonid Kingdom,#CA8A04
